; 英文的编码用大写字母表示
呾 dan 0
呾 ya 0
呿 ka 885
呿 qu 500
咁 gan 4657
咁 han 32775
咁 xian 37432
咃 tuo 163
咅 pou 10
咇 bi 45
咇 bie 0
咈 fu 11
咉 yang 14
咊 he 304
咍 hai 63
咍 tai 0
咑 da 1105
咓 wa 88
咗 zuo 62607
咘 bu 588
咜 ta 0
咜 tuo 0
咞 xian 18
咟 huo 21
咠 qi 7
咡 er 392
咢 e 0
咥 die 0
咥 xi 0
咮 zhou 0
咰 shu 0
咰 xun 0
咲 xiao 0
咵 kua 0
咶 huai 0
咶 shi 0
咷 tao 0
咷 tiao 0
咹 an 0
咹 e 0
咺 xuan 0
咼 guo 0
咼 wai 0
咾 lao 0
哃 tong 0
哅 xiong 0
哊 you 0
哋 di 0
哋 mi 0
哖 nian 0
哘 xiang 0
哘 xing 0
哛  0
哠 hao 0
員 yuan 0
員 yun 0
哢 ka 0
哢 long 0
哣 pou 0
哣 tou 0
哤 mang 0
哫 zu 0
哬 he 0
哯 xian 0
哰 lao 0
哱 bo 0
哱 po 0
哴 lang 0
哴 liang 0
哵 ba 0
哶 mie 0
哷 lie 0
哷 lv 0
哸 sui 0
哹 fu 0
哻 han 0
哾 shuo 0
哾 yue 0
唀 you 0
唂 gu 0
唃 gu 0
唄 bai 0
唄 bei 0
唅 han 0
唈 yi 0
唊 jia 0
唊 qian 0
唋 tu 0
唌 xian 0
唍 wan 0
唎 li 0
唒 qiu 0
唓 che 0
唕 zao 0
唖 e 0
唖 ya 0
唗 dou 0
唘 qi 0
唙 di 0
唚 qin 0
唜  0
唝 gong 0
唝 hong 0
唞 dou 0
唟  0
唡 liang 0
唡 ying 0
唥 lang 0
唦 sha 0
唨 zu 66
唩 wei 363
唩 wo 0
唫 jin 260
唫 yin 0
唭 qi 306
唲 er 1907
唲 wa 1000
唴 qiang 22
唵 an 384
唶 ji 15
唶 jie 15
唶 ze 0
唶 zhe 0
唸 dian 5870
唸 nian 5000
唹 yu 45
唺 tian 17
唻 lai 988
唽 xi 19
啀 ai 95
啂 gou 19
啂 nou 0
啅 zhao 13
啅 zhuo 0
啇 di 113
啇 shi 0
啈 e 196
啈 heng 196
啋 cai 360
啌 qiang 46
啌 xiang 0
啍 dui 25
啍 qiang 0
啍 tun 25
啍 zhun 25
啎 wu 53
問 wen 21837
啑 die 0
啑 jie 0
啑 sha 0
啑 shan 0
啑 ti 0
啑 tian 0
啒 gu 24
啓 qi 369
啔 qi 24
啗 dan 7
啘 wa 4
啘 ye 0
啘 yue 0
啙 ci 41
啙 zi 0
啚 bi 22
啚 tu 0
啛 cui 26
啝 he 1026
啞 e 347
啞 ya 347
啟 qi 687
啠 zhe 29
啢 liang 47
啣 xian 26
啨 qing 394
啨 ying 0
啩 gua 1066
啫 shi 168
啫 ze 4833
啯 guo 216
啰 luo 22991
啱 yan 3624
啲 di 24769
啳 jue 6
啳 quan 0
啴 chan 13
啴 tan 13
啴 tuo 0
啹 ju 15
啺 tang 8
啽 an 18
啿 dan 435
喅 yu 14
喆 zhe 17699
喌 zhou 132
喍 chai 61
喎 wai 875
喐 guo 152
喐 huo 0
喐 xu 0
喐 yu 0
喒 za 36
喒 zan 36
喓 yao 2609
喕 mian 252
喖 hu 10
喗 yun 27
喚 huan 309
喛 he 17
喛 huan 17
喛 xuan 0
喛 yuan 17
喞 ji 151
喠 chong 0
喠 chuang 0
喠 zhong 139
喡 wei 250
喢 sha 16
喣 xu 21
喤 huang 72
喥 duo 135
喥 zha 0
喦 nie 40
喦 yan 0
喨 liang 370
喩 yu 48
喪 sang 600
喫 chi 258
喫 kai 0
喬 jiao 90
喬 qiao 90
喭 yan 28
單 chan 13956
單 dan 26956
單 shan 13000
喯 ben 90
喯 pen 0
喰 can 0
喰 qi 0
喰 sun 24
喲 yo 8148
喴 wei 44
営 ying 87
喺 xi 15313
喼 jie 167
喿 qiao 1316
喿 zao 1316
嗀 gu 22
嗀 hu 0
嗁 ti 11
嗂 yao 39
嗃 he 0
嗃 hu 0
嗃 xiao 0
嗆 qiang 204
嗇 se 46
嗈 yong 6
嗊 gong 58
嗊 hong 0
嗋 xie 7
嗎 ma 55866
嗏 cha 219
嗐 hai 1151
嗕 ru 20
嗗 gu 134
嗗 wa 0
嗘 ji 22
嗙 beng 64
嗙 pang 64
嗚 wu 4912
嗛 qian 1
嗛 qie 0
嗛 xian 1
嗞 zi 451
嗠 lao 15
嗠 lu 0
嗢 wa 27
嗧 jia 9
嗧 lun 0
嗩 suo 120
嗭 zi 8
嗮 sai 2386
嗰 ge 22792
嗱 na 790
嗴 qiang 5
嗶 bi 187
嗸 ao 9
嗹 lian 42
嗺 sui 27
嗺 zui 0
嗻 zhe 354
嗻 zhu 0
嗼 mo 369
嗿 tan 166
